Date,Infrastructure_Machineries,Daily_Sales _Percentage,Daily_Sales_Quantity,Market_Share,Political,Marketing,Budget,Customer_Id,Region,Year,Month,Day,Day_of_Week,Is_Weekend,Rolling_7D_Sales,Rolling_30D_Sales,Cumulative_Sales
2019-01-01,82,0.9331264417364116,0.022290331568682,0.0,0.0,1.0,0.0,0,1309,2019,1,1,1,0,0.1235220125786163,0.2099639995354779,0.0002387894631007
2019-01-01,83,0.9331264417364116,0.0195040401225968,0.0,0.0,1.0,0.0,1,1697,2019,1,1,1,0,0.1147169811320754,0.1925444199279991,0.0002073697969032
2019-01-01,84,0.9331264417364116,0.0195040401225968,0.0,0.0,1.0,0.0,2,645,2019,1,1,1,0,0.1117819706498951,0.1867378933921727,0.0002073697969032
2019-01-01,81,0.9331264417364116,0.0189467818333797,0.0,0.0,1.0,0.0,3,217,2019,1,1,1,0,0.1094339622641509,0.1820926721635117,0.0002010858636637
2019-01-01,85,0.9331264417364116,0.01699637782112,0.0,0.0,1.0,0.0,4,1960,2019,1,1,1,0,0.1055597484276729,0.1744280571362211,0.0001790920973255
2019-01-02,80,0.9854840244137698,0.0142100863750348,0.0,0.0,1.0,0.0,5,1074,2019,1,2,2,0,0.100041928721174,0.1635117872488677,0.000147672431128
2019-01-02,82,0.9854840244137698,0.0189467818333797,0.0,0.0,1.0,0.0,6,1831,2019,1,2,2,0,0.100377358490566,0.1641753902815336,0.0004524431932435
2019-01-02,83,0.9854840244137698,0.0236834772917247,0.0,0.0,1.0,0.0,7,1231,2019,1,2,2,0,0.1016352201257861,0.1720764138892114,0.0004744369595817
2019-01-02,84,0.9854840244137698,0.0178322652549456,0.0,0.0,1.0,0.0,8,1752,2019,1,2,2,0,0.100125786163522,0.1700925173228041,0.000408455660567
2019-01-02,81,0.9854840244137698,0.0208971858456394,0.0,0.0,1.0,0.0,9,605,2019,1,2,2,0,0.1013836477987421,0.1723377075833236,0.0004367333601447
2019-01-02,85,0.9854840244137698,0.0220117024240735,0.0,0.0,1.0,0.0,10,1580,2019,1,2,2,0,0.1041509433962264,0.1754415599497471,0.0004273074602855
2019-01-03,80,0.8222044279334446,0.0172750069657286,0.0,0.0,1.0,0.0,11,1444,2019,1,3,3,0,0.1044025157232704,0.1730925560329811,0.0003424743615523
2019-01-03,82,0.8222044279334446,0.0236834772917247,0.0,0.0,1.0,0.0,12,383,2019,1,3,3,0,0.1129559748427673,0.1772687885799022,0.0007195103559219
